"Id","Predicted"
1,-87.1036923956126
2,60.364446323365
3,54.5858788304031
4,29.7580175567418
5,-66.0601311828941
6,-4.44402419961989
7,6.67226929217577
8,9.32727502658963
9,29.5436314307153
10,74.2902356665581
11,-10.8672187663615
12,10.9512866009027
13,-52.894965512678
14,76.7359260935336
15,-45.3369253780693
16,-30.5762195028365
17,-89.4886055029929
18,-19.980794377625
19,-26.1391859035939
20,-76.8905005417764
21,50.7453594356775
22,8.26473254710436
23,58.3098220638931
24,19.9942741077393
25,75.2965963445604
26,55.8878664858639
27,-6.50620949454606
28,21.8319368548691
29,-62.7680825069547
30,-31.5131639130414
31,-94.2615978885442
32,47.801156481728
33,-30.8929069899023
34,-52.6685215998441
35,-41.7361960280687
36,63.7021768838167
37,-42.4422364681959
38,-8.92611634917557
39,-54.183462774381
40,28.0909789260477
41,31.624788697809
42,-61.1387876793742
43,-52.7649276424199
44,47.8739959653467
45,44.1337916534394
46,-97.4375245627016
47,11.9023794308305
48,-57.0140740368515
49,-19.9312024749815
50,59.4572158064693
51,-9.5824773889035
52,26.3101342134178
53,-0.0740235671401024
54,42.3897568136454
55,43.8141101505607
56,-60.7206956483424
57,4.40529971383512
58,20.2766073402017
59,69.7087063919753
60,-30.3366189356893
61,15.2063583955169
62,40.7525915186852
63,-92.7831010427326
64,42.6408604718745
65,-9.08122626133263
66,-28.3061920199543
67,80.3044387605041
68,-18.0215095635504
69,-65.7083834055811
70,-38.8951818924397
71,-1.90647686831653
72,88.1761854980141
73,7.94859426096082
74,-43.0575967300683
75,75.2375252079219
76,-39.4933921284974
77,94.1983082331717
78,-38.1808448117226
79,-93.0094678420573
80,75.5235070362687
81,-14.3713368568569
82,44.1227408591658
83,-13.1290850229561
84,62.1769686229527
85,38.4858809877187
86,-46.885416470468
87,73.7381996586919
88,-83.9858337771147
89,30.6828781496733
90,79.19318866916
91,43.5929137747735
92,25.2776984125376
93,74.4337340351194
94,-26.1709180194885
95,82.9913017805666
96,-20.2988856937736
97,2.79606189578772
98,-7.05247116275132
99,-2.08308002911508
100,-25.6963099818677
101,45.2150342985988
102,54.7077232506126
103,-27.7616182807833
104,-50.4451943095773
105,80.1357746124268
106,-0.847915979102254
107,72.5349696818739
108,-49.0979149471968
109,12.958211870864
110,30.374228162691
